customer_id,region,acquisition_channel,signup_date
CUST_0000,EMEA,Distributor,2023-02-18
CUST_0001,EMEA,Online Web,2023-01-25
CUST_0002,APAC,Distributor,2022-07-24
CUST_0003,North_America,Distributor,2023-09-06
CUST_0004,APAC,Distributor,2022-07-03
CUST_0005,EMEA,Distributor,2022-08-24
CUST_0006,North_America,Direct Sales,2022-09-12
CUST_0007,North_America,Direct Sales,2022-05-17
CUST_0008,LATAM,Distributor,2022-03-30
CUST_0009,North_America,Direct Sales,2022-09-15
CUST_0010,APAC,Distributor,2023-01-28
CUST_0011,APAC,Distributor,2023-06-28
CUST_0012,North_America,Distributor,2023-12-02
CUST_0013,EMEA,Distributor,2023-12-19
CUST_0014,LATAM,Distributor,2023-07-06
CUST_0015,North_America,Online Web,2022-04-02
CUST_0016,LATAM,Online Web,2023-10-01
CUST_0017,EMEA,Online Web,2023-05-17
CUST_0018,North_America,Distributor,2022-07-24
CUST_0019,APAC,Distributor,2023-03-08
CUST_0020,North_America,Distributor,2023-09-20
CUST_0021,EMEA,Distributor,2023-08-26
CUST_0022,North_America,Online Web,2022-08-10
CUST_0023,APAC,Direct Sales,2023-01-18
CUST_0024,APAC,Direct Sales,2023-02-02
CUST_0025,North_America,Direct Sales,2023-11-30
CUST_0026,EMEA,Distributor,2022-08-06
CUST_0027,North_America,Direct Sales,2022-06-05
CUST_0028,EMEA,Online Web,2023-04-18
CUST_0029,North_America,Direct Sales,2023-11-08
CUST_0030,North_America,Direct Sales,2022-07-03
CUST_0031,North_America,Distributor,2023-08-04
CUST_0032,EMEA,Distributor,2022-12-13
CUST_0033,North_America,Direct Sales,2022-03-26
CUST_0034,North_America,Direct Sales,2023-06-26
CUST_0035,North_America,Direct Sales,2023-11-25
CUST_0036,APAC,Online Web,2022-03-31
CUST_0037,EMEA,Direct Sales,2023-04-26
CUST_0038,North_America,Online Web,2022-11-20
CUST_0039,LATAM,Distributor,2023-02-17
CUST_0040,EMEA,Direct Sales,2022-02-13
CUST_0041,North_America,Distributor,2022-10-03
CUST_0042,EMEA,Direct Sales,2023-07-26
CUST_0043,EMEA,Distributor,2022-01-08
CUST_0044,APAC,Distributor,2023-03-12
CUST_0045,APAC,Distributor,2022-07-28
CUST_0046,North_America,Direct Sales,2023-01-07
CUST_0047,LATAM,Direct Sales,2023-07-02
CUST_0048,EMEA,Direct Sales,2022-03-24
CUST_0049,North_America,Online Web,2023-04-19
CUST_0050,EMEA,Distributor,2023-06-16
CUST_0051,North_America,Direct Sales,2022-07-22
CUST_0052,North_America,Direct Sales,2023-09-13
CUST_0053,LATAM,Distributor,2023-04-19
CUST_0054,LATAM,Distributor,2022-02-22
CUST_0055,APAC,Distributor,2023-01-02
CUST_0056,EMEA,Direct Sales,2022-05-13
CUST_0057,APAC,Distributor,2022-08-10
CUST_0058,APAC,Online Web,2022-06-14
CUST_0059,North_America,Direct Sales,2023-03-29
CUST_0060,EMEA,Direct Sales,2023-09-02
CUST_0061,EMEA,Online Web,2022-07-01
CUST_0062,LATAM,Distributor,2023-05-31
CUST_0063,APAC,Distributor,2023-11-08
CUST_0064,EMEA,Online Web,2022-06-30
CUST_0065,North_America,Direct Sales,2022-02-07
CUST_0066,North_America,Distributor,2022-04-23
CUST_0067,North_America,Online Web,2022-01-24
CUST_0068,North_America,Direct Sales,2022-06-25
CUST_0069,APAC,Online Web,2023-05-01
CUST_0070,LATAM,Direct Sales,2023-12-02
CUST_0071,North_America,Distributor,2023-03-06
CUST_0072,North_America,Distributor,2022-03-25
CUST_0073,North_America,Direct Sales,2023-03-12
CUST_0074,APAC,Direct Sales,2023-10-10
CUST_0075,EMEA,Online Web,2022-03-30
CUST_0076,APAC,Distributor,2022-05-27
CUST_0077,LATAM,Distributor,2022-11-14
CUST_0078,North_America,Distributor,2023-09-25
CUST_0079,EMEA,Online Web,2022-01-06
CUST_0080,EMEA,Direct Sales,2023-01-26
CUST_0081,EMEA,Online Web,2022-12-04
CUST_0082,APAC,Distributor,2022-05-20
CUST_0083,APAC,Distributor,2023-06-20
CUST_0084,North_America,Online Web,2023-02-20
CUST_0085,North_America,Direct Sales,2022-07-25
CUST_0086,EMEA,Direct Sales,2022-02-26
CUST_0087,North_America,Distributor,2023-10-18
CUST_0088,APAC,Online Web,2022-08-05
CUST_0089,EMEA,Direct Sales,2023-03-30
CUST_0090,EMEA,Direct Sales,2022-09-21
CUST_0091,North_America,Online Web,2023-07-13
CUST_0092,North_America,Online Web,2023-02-18
CUST_0093,North_America,Online Web,2022-05-10
CUST_0094,North_America,Online Web,2022-12-29
CUST_0095,North_America,Online Web,2023-12-13
CUST_0096,EMEA,Online Web,2023-05-03
CUST_0097,North_America,Online Web,2022-02-27
CUST_0098,APAC,Distributor,2022-05-15
CUST_0099,EMEA,Distributor,2023-09-07
CUST_0100,APAC,Online Web,2022-06-04
CUST_0101,APAC,Direct Sales,2023-09-15
CUST_0102,EMEA,Online Web,2023-02-23
CUST_0103,North_America,Direct Sales,2022-05-08
CUST_0104,LATAM,Online Web,2022-04-09
CUST_0105,North_America,Direct Sales,2022-05-02
CUST_0106,EMEA,Distributor,2022-05-28
CUST_0107,North_America,Distributor,2022-10-31
CUST_0108,EMEA,Online Web,2022-06-28
CUST_0109,APAC,Online Web,2022-07-01
CUST_0110,EMEA,Distributor,2023-02-24
CUST_0111,EMEA,Online Web,2022-05-30
CUST_0112,North_America,Direct Sales,2022-08-01
CUST_0113,North_America,Direct Sales,2023-07-29
CUST_0114,APAC,Direct Sales,2022-11-23
CUST_0115,APAC,Distributor,2023-05-27
CUST_0116,EMEA,Online Web,2022-08-28
CUST_0117,LATAM,Distributor,2022-09-21
CUST_0118,North_America,Online Web,2022-05-01
CUST_0119,North_America,Distributor,2023-01-06
CUST_0120,APAC,Distributor,2022-07-10
CUST_0121,EMEA,Direct Sales,2023-11-26
CUST_0122,EMEA,Distributor,2022-03-16
CUST_0123,APAC,Distributor,2023-05-29
CUST_0124,APAC,Online Web,2022-10-22
CUST_0125,EMEA,Online Web,2022-01-12
CUST_0126,EMEA,Online Web,2023-08-23
CUST_0127,North_America,Direct Sales,2022-02-18
CUST_0128,APAC,Distributor,2022-12-12
CUST_0129,North_America,Online Web,2022-08-10
CUST_0130,EMEA,Direct Sales,2023-01-22
CUST_0131,EMEA,Online Web,2023-02-13
CUST_0132,EMEA,Direct Sales,2022-12-11
CUST_0133,APAC,Distributor,2023-02-13
CUST_0134,North_America,Distributor,2023-01-31
CUST_0135,North_America,Online Web,2023-03-01
CUST_0136,North_America,Distributor,2023-01-15
CUST_0137,LATAM,Direct Sales,2023-07-02
CUST_0138,EMEA,Online Web,2022-04-05
CUST_0139,North_America,Distributor,2022-07-05
CUST_0140,EMEA,Direct Sales,2022-02-08
CUST_0141,APAC,Distributor,2023-01-17
CUST_0142,LATAM,Direct Sales,2023-02-13
CUST_0143,North_America,Distributor,2023-03-31
CUST_0144,LATAM,Distributor,2022-08-24
CUST_0145,North_America,Direct Sales,2022-11-15
CUST_0146,North_America,Direct Sales,2023-11-02
CUST_0147,EMEA,Online Web,2022-08-20
CUST_0148,North_America,Online Web,2023-11-01
CUST_0149,APAC,Direct Sales,2022-11-15
CUST_0150,North_America,Distributor,2022-04-19
CUST_0151,North_America,Direct Sales,2023-12-06
CUST_0152,APAC,Direct Sales,2022-11-18
CUST_0153,LATAM,Distributor,2022-08-12
CUST_0154,APAC,Direct Sales,2023-12-30
CUST_0155,APAC,Online Web,2023-11-22
CUST_0156,LATAM,Distributor,2023-12-30
CUST_0157,EMEA,Direct Sales,2022-09-13
CUST_0158,North_America,Distributor,2023-01-28
CUST_0159,APAC,Online Web,2022-10-31
CUST_0160,EMEA,Online Web,2023-03-25
CUST_0161,EMEA,Online Web,2022-03-24
CUST_0162,APAC,Distributor,2023-03-25
CUST_0163,APAC,Online Web,2023-03-08
CUST_0164,North_America,Direct Sales,2022-09-20
CUST_0165,North_America,Distributor,2022-03-13
CUST_0166,EMEA,Distributor,2023-05-31
CUST_0167,LATAM,Distributor,2022-10-28
CUST_0168,APAC,Online Web,2023-12-03
CUST_0169,North_America,Direct Sales,2022-11-25
CUST_0170,North_America,Online Web,2023-05-04
CUST_0171,EMEA,Online Web,2023-07-01
CUST_0172,EMEA,Online Web,2022-05-11
CUST_0173,EMEA,Direct Sales,2022-09-20
CUST_0174,North_America,Direct Sales,2023-03-18
CUST_0175,EMEA,Distributor,2022-10-25
CUST_0176,EMEA,Online Web,2023-02-24
CUST_0177,North_America,Direct Sales,2023-11-06
CUST_0178,North_America,Distributor,2023-09-18
CUST_0179,EMEA,Distributor,2022-06-13
CUST_0180,North_America,Distributor,2022-10-17
CUST_0181,LATAM,Distributor,2023-01-24
CUST_0182,North_America,Distributor,2023-11-26
CUST_0183,North_America,Distributor,2023-11-26
CUST_0184,APAC,Direct Sales,2023-09-11
CUST_0185,North_America,Distributor,2023-09-26
CUST_0186,EMEA,Distributor,2023-11-14
CUST_0187,North_America,Distributor,2023-03-27
CUST_0188,LATAM,Distributor,2022-07-19
CUST_0189,North_America,Distributor,2023-01-24
CUST_0190,North_America,Direct Sales,2022-12-11
CUST_0191,EMEA,Direct Sales,2022-07-22
CUST_0192,APAC,Direct Sales,2022-12-20
CUST_0193,EMEA,Distributor,2022-01-05
CUST_0194,EMEA,Direct Sales,2023-11-15
CUST_0195,APAC,Online Web,2022-12-30
CUST_0196,EMEA,Direct Sales,2023-12-13
CUST_0197,EMEA,Distributor,2022-10-30
CUST_0198,North_America,Online Web,2022-07-17
CUST_0199,North_America,Online Web,2023-11-12
CUST_0200,North_America,Direct Sales,2023-11-15
CUST_0201,EMEA,Distributor,2022-06-25
CUST_0202,APAC,Online Web,2023-10-18
CUST_0203,APAC,Distributor,2022-09-25
CUST_0204,EMEA,Online Web,2023-11-04
