customer_id,transaction_date,product_name,quantity,total_amount,status
CUST_0221,2022-12-25,Monitor 27in,3,1050,Completed
CUST_1283,2023-04-30,Monitor 27in,1,350,Completed
CUST_1065,2024-04-20,Monitor 27in,1,350,Completed
CUST_0550,2023-05-29,Gaming Laptop,1,1500,Completed
CUST_0700,2024-03-26,Gaming Laptop,1,1500,Completed
CUST_1751,2024-02-18,Monitor 27in,3,1050,Completed
CUST_0544,2024-03-26,USB-C Dock,5,900,Completed
CUST_0340,2024-05-24,Ethernet Cable,10,250,Completed
CUST_1070,2023-09-08,Ethernet Cable,1,25,Completed
CUST_0135,2023-11-11,Enterprise Server,3,13500,Completed
CUST_1187,2022-08-21,USB-C Dock,1,180,Completed
CUST_0907,2023-12-31,Monitor 27in,1,350,Completed
CUST_0248,2024-08-06,Monitor 27in,3,1050,Completed
CUST_0806,2023-04-25,Monitor 27in,5,1750,Completed
CUST_0998,2023-06-02,Enterprise Server,5,22500,Completed
CUST_1861,2023-08-29,Enterprise Server,1,4500,Completed
CUST_0648,2024-05-22,Gaming Laptop,1,1500,Completed
CUST_0206,2024-08-28,Monitor 27in,1,350,Completed
CUST_0917,2023-12-21,Monitor 27in,5,1750,Completed
CUST_1129,2022-10-12,Mechanical Keyboard,1,120,Completed
CUST_0662,2022-12-25,Enterprise Server,1,4500,Completed
CUST_0508,2022-10-29,USB-C Dock,10,1800,Completed
CUST_1525,2023-01-12,Ethernet Cable,1,-25,Returned
CUST_0422,2022-11-09,Enterprise Server,1,4500,Completed
CUST_0732,2023-09-21,Gaming Laptop,3,4500,Completed
CUST_1886,2023-03-10,Gaming Laptop,1,1500,Completed
CUST_1930,2023-06-09,USB-C Dock,1,180,Completed
CUST_1956,2024-04-21,Ethernet Cable,2,50,Completed
CUST_0534,2023-08-01,Mechanical Keyboard,2,240,Completed
CUST_1290,2023-03-25,Ethernet Cable,3,75,Completed
CUST_0207,2023-04-01,Mechanical Keyboard,1,120,Completed
CUST_1885,2024-01-16,Enterprise Server,2,9000,Completed
CUST_1451,2024-01-05,USB-C Dock,2,-360,Returned
CUST_0470,2023-09-15,Enterprise Server,1,4500,Completed
CUST_0777,2022-06-21,Ethernet Cable,2,50,Completed
CUST_1656,2023-09-07,Ethernet Cable,3,75,Completed
CUST_1850,2023-06-10,USB-C Dock,1,180,Completed
CUST_1119,2023-12-15,Ethernet Cable,2,50,Completed
CUST_1671,2023-03-28,Gaming Laptop,1,1500,Completed
CUST_0733,2023-02-27,Gaming Laptop,2,3000,Completed
CUST_0596,2022-07-27,Gaming Laptop,1,1500,Completed
CUST_1353,2023-09-20,USB-C Dock,2,360,Completed
CUST_1305,2023-03-29,Gaming Laptop,2,-3000,Returned
CUST_0340,2024-04-19,Mechanical Keyboard,5,600,Completed
CUST_1543,2022-08-09,Enterprise Server,3,13500,Completed
CUST_0389,2023-09-22,Gaming Laptop,1,1500,Completed
CUST_0941,2022-02-06,USB-C Dock,5,900,Completed
CUST_0773,2024-07-20,Gaming Laptop,2,3000,Completed
CUST_0069,2023-08-01,Mechanical Keyboard,2,240,Completed
CUST_1207,2023-07-05,Gaming Laptop,1,1500,Completed
CUST_0121,2024-04-11,Monitor 27in,1,350,Completed
CUST_1166,2022-12-14,Ethernet Cable,2,50,Completed
CUST_1485,2024-01-30,Gaming Laptop,5,7500,Completed
CUST_0695,2023-10-25,Gaming Laptop,10,15000,Completed
CUST_1009,2022-12-06,Ethernet Cable,1,25,Completed
CUST_0387,2023-05-25,Enterprise Server,1,4500,Completed
CUST_0037,2023-11-11,Ethernet Cable,1,25,Completed
CUST_1965,2022-12-19,USB-C Dock,3,540,Completed
CUST_0315,2024-04-13,Monitor 27in,1,350,Completed
CUST_1732,2023-09-01,Enterprise Server,1,4500,Completed
CUST_0118,2023-01-27,Monitor 27in,3,1050,Completed
CUST_1306,2023-05-14,USB-C Dock,1,180,Completed
CUST_1312,2022-03-17,Mechanical Keyboard,1,120,Completed
CUST_0909,2023-09-19,USB-C Dock,5,900,Completed
CUST_1314,2022-06-15,USB-C Dock,1,180,Completed
CUST_1527,2023-08-06,USB-C Dock,1,180,Completed
CUST_1017,2022-04-29,Ethernet Cable,1,25,Completed
CUST_1037,2022-09-15,Gaming Laptop,2,3000,Completed
CUST_1854,2022-11-13,Monitor 27in,1,350,Completed
CUST_0000,2023-05-30,Gaming Laptop,2,3000,Completed
CUST_1776,2023-07-11,USB-C Dock,5,900,Completed
CUST_1657,2022-10-31,USB-C Dock,1,180,Completed
CUST_0332,2023-03-15,Monitor 27in,2,700,Completed
CUST_1978,2022-12-01,Monitor 27in,10,3500,Completed
CUST_0766,2023-11-14,Mechanical Keyboard,3,-360,Returned
CUST_1373,2024-03-25,USB-C Dock,2,360,Completed
CUST_1246,2022-08-25,Enterprise Server,3,13500,Completed
CUST_0371,2023-12-12,Ethernet Cable,1,25,Completed
CUST_0388,2022-11-14,Gaming Laptop,2,3000,Completed
CUST_0559,2023-08-30,Enterprise Server,3,13500,Completed
CUST_1354,2023-11-23,Ethernet Cable,1,25,Completed
CUST_1724,2023-07-14,Mechanical Keyboard,1,120,Completed
CUST_1443,2024-04-10,Gaming Laptop,2,3000,Completed
CUST_1873,2024-01-09,Monitor 27in,1,350,Completed
CUST_0122,2023-02-25,Monitor 27in,2,700,Completed
CUST_0755,2024-05-07,Gaming Laptop,1,1500,Completed
CUST_1463,2023-06-17,USB-C Dock,1,180,Completed
CUST_1204,2022-10-22,Enterprise Server,5,-22500,Returned
CUST_0699,2024-05-30,Gaming Laptop,1,1500,Completed
CUST_1335,2024-02-21,USB-C Dock,1,180,Completed
CUST_1175,2023-07-23,Enterprise Server,2,9000,Completed
CUST_1763,2022-09-02,USB-C Dock,1,180,Completed
CUST_0887,2023-07-10,Enterprise Server,1,-4500,Returned
CUST_0222,2023-09-21,Monitor 27in,1,350,Completed
