customer_id	transaction_date	product_name	quantity	total_amount	status	region	adquisition_channel	sinup_date
CUST_0221	25/12/2022	Monitor 27in	3	1050	Completed	North_America	Distributor	21/06/2022
CUST_1283	30/04/2023	Monitor 27in	1	350	Completed	EMEA	Direct Sales	03/03/2023
CUST_1065	20/04/2024	Monitor 27in	1	350	Completed	North_America	Direct Sales	24/07/2023
CUST_0550	29/05/2023	Gaming Laptop	1	1500	Completed	North_America	Direct Sales	30/12/2022
CUST_0700	26/03/2024	Gaming Laptop	1	1500	Completed	APAC	Online Web	11/05/2023
CUST_1751	18/02/2024	Monitor 27in	3	1050	Completed	APAC	Direct Sales	24/09/2023
CUST_0544	26/03/2024	USB-C Dock	5	900	Completed	EMEA	Distributor	28/06/2023
CUST_0340	24/05/2024	Ethernet Cable	10	250	Completed	EMEA	Direct Sales	31/10/2023
CUST_1070	08/09/2023	Ethernet Cable	1	25	Completed	LATAM	Distributor	21/03/2023
CUST_0135	11/11/2023	Enterprise Server	3	13500	Completed	North_America	Online Web	01/03/2023
CUST_1187	21/08/2022	USB-C Dock	1	180	Completed	LATAM	Online Web	29/06/2022
CUST_0907	31/12/2023	Monitor 27in	1	350	Completed	North_America	Distributor	21/10/2023
CUST_0248	06/08/2024	Monitor 27in	3	1050	Completed	EMEA	Direct Sales	29/12/2023
CUST_0806	25/04/2023	Monitor 27in	5	1750	Completed	North_America	Distributor	23/03/2023
CUST_0998	02/06/2023	Enterprise Server	5	22500	Completed	APAC	Distributor	29/09/2022
CUST_1861	29/08/2023	Enterprise Server	1	4500	Completed	EMEA	Direct Sales	18/03/2023
CUST_0648	22/05/2024	Gaming Laptop	1	1500	Completed	EMEA	Distributor	12/10/2023
CUST_0206	28/08/2024	Monitor 27in	1	350	Completed	APAC	Direct Sales	25/12/2023
CUST_0917	21/12/2023	Monitor 27in	5	1750	Completed	North_America	Distributor	21/10/2023
CUST_1129	12/10/2022	Mechanical Keyboard	1	120	Completed	North_America	Online Web	25/07/2022
CUST_0662	25/12/2022	Enterprise Server	1	4500	Completed	EMEA	Direct Sales	28/07/2022
CUST_0508	29/10/2022	USB-C Dock	10	1800	Completed	North_America	Distributor	16/03/2022
CUST_1525	12/01/2023	Ethernet Cable	1	-25	Returned	APAC	Direct Sales	13/11/2022
CUST_0422	09/11/2022	Enterprise Server	1	4500	Completed	North_America	Direct Sales	04/06/2022
CUST_0732	21/09/2023	Gaming Laptop	3	4500	Completed	LATAM	Distributor	18/08/2023
CUST_1886	10/03/2023	Gaming Laptop	1	1500	Completed	APAC	Direct Sales	12/02/2023
CUST_1930	09/06/2023	USB-C Dock	1	180	Completed	North_America	Direct Sales	02/01/2023
CUST_1956	21/04/2024	Ethernet Cable	2	50	Completed	North_America	Online Web	21/05/2023
CUST_0534	01/08/2023	Mechanical Keyboard	2	240	Completed	LATAM	Distributor	30/10/2022
CUST_1290	25/03/2023	Ethernet Cable	3	75	Completed	APAC	Online Web	12/08/2022
CUST_0207	01/04/2023	Mechanical Keyboard	1	120	Completed	LATAM	Online Web	25/08/2022
CUST_1885	16/01/2024	Enterprise Server	2	9000	Completed	North_America	Online Web	10/11/2023
CUST_1451	05/01/2024	USB-C Dock	2	-360	Returned	LATAM	Direct Sales	03/05/2023
CUST_0470	15/09/2023	Enterprise Server	1	4500	Completed	EMEA	Online Web	05/05/2023
CUST_0777	21/06/2022	Ethernet Cable	2	50	Completed	EMEA	Direct Sales	14/05/2022
CUST_1656	07/09/2023	Ethernet Cable	3	75	Completed	EMEA	Distributor	10/06/2023
